date,unique_id,temperature,replicate,cell_density,cell_volume,time_since_innoc_hours,days
2016-12-01 19:08,5_1,5,1,14737,1197.9,829.3736111,34.5572338
2016-12-01 19:14,5_2,5,2,15755,1202.57,829.4788889,34.56162037
2016-12-01 19:11,5_3,5,3,15376,1264.46,829.4275,34.55947917
2016-12-01 19:12,5_4,5,4,18208,1215.53,829.4516667,34.56048611
2016-12-01 19:16,5_5,5,5,17463,1111.38,829.5161111,34.5631713
2016-12-01 19:27,8_1,8,1,19353,1125.81,829.6891667,34.57038194
2016-12-01 19:24,8_2,8,2,22264,1059.73,829.6469444,34.56862269
2016-12-01 19:22,8_3,8,3,18558,1049.7,829.6155556,34.56731481
2016-12-01 19:20,8_4,8,4,17701,1113.1,829.5747222,34.56561343
2016-12-01 19:18,8_5,8,5,17392,1028.06,829.5502778,34.56459491
2016-12-01 19:28,16_1,16,1,20883,971.05,829.7147222,34.57144676
2016-12-01 19:30,16_2,16,2,16596,1034.98,829.7386111,34.57244213
2016-12-01 19:31,16_3,16,3,18956,1054.16,829.7630556,34.57346065
2016-12-01 19:35,16_4,16,4,20005,1156.72,829.8338889,34.57641204
2016-12-01 19:34,16_5,16,5,18257,1157.49,829.8091667,34.57538194
2016-12-01 19:00,25_1,25,1,12762,914.47,829.2486111,34.55202546
2016-12-01 19:02,25_2,25,2,13896,1222.13,829.2725,34.55302083
2016-12-01 19:03,25_3,25,3,14076,1004.23,829.2969444,34.55403935
2016-12-01 19:05,25_4,25,4,13719,1184.6,829.3211111,34.5550463
2016-12-01 19:06,25_5,25,5,12874,1078.88,829.3497222,34.55623843
2016-12-02 15:51,32_1,32,1,2430,1979.32,850.1041667,35.42100694
2016-12-02 15:54,32_2,32,2,4949,1308.24,850.1408333,35.42253472
2016-12-02 15:55,32_3,32,3,3587,1650.31,850.1658333,35.42357639
2016-12-02 15:57,32_4,32,4,3932,1590.16,850.1886111,35.42452546
2016-12-02 16:00,32_5,32,5,4909,1227.3,850.2391667,35.42663194
2016-12-06 19:37,5_1,5,1,19474,980.82,949.855,39.57729167
2016-12-06 19:34,5_2,5,2,18467,1043.45,949.8197222,39.57582176
2016-12-06 19:38,5_3,5,3,20106,951.1,949.88,39.57833333
2016-12-06 19:39,5_4,5,4,26825,982.56,949.9025,39.57927083
2016-12-06 19:41,5_5,5,5,16642,927.9,949.9277778,39.58032407
2016-12-06 19:42,8_1,8,1,19068,843.5,949.9541667,39.58142361
2016-12-06 19:44,8_2,8,2,18630,776.54,949.9805556,39.58252315
2016-12-06 19:46,8_3,8,3,20553,861.8,950.0047222,39.58353009
2016-12-06 19:47,8_4,8,4,17023,860.52,950.0288889,39.58453704
2016-12-06 19:49,8_5,8,5,20389,854.89,950.06,39.58583333
2016-12-06 19:51,16_1,16,1,20503,768.11,950.0961111,39.58733796
2016-12-06 19:53,16_2,16,2,18958,683.86,950.1255556,39.58856481
